query;title;url;abstract;authors;date;downloads;score;journal
"""regulatory t cell"" AND ""therapy""";Sustained Release of IL-2 Using an Injectable Hydrogel Prevents Autoimmune Diabetes;https://www.biorxiv.org/content/10.1101/2020.03.15.993063v1;Interleukin 2 (IL-2) is a promising therapy for autoimmune type 1 diabetes (T1D), but the short half-life in vivo (less than 6 minutes) limits effective tissue exposure to IL-2.  Tissue exposure is required for the tolerogenic effects of IL-2.;Nadine Nagy ... Paul L. Bollyky;2020-03-18;48;0.43;missing
"""regulatory t cell"" AND ""therapy""";Massively parallel single-cell chromatin landscapes of human immune cell development and intratumoral T cell exhaustion;https://www.biorxiv.org/content/10.1101/610550v1;Understanding complex tissues requires single-cell deconstruction of gene regulation with precision and scale.  Here we present a massively parallel droplet-based platform for mapping transposase-accessible chromatin in tens of thousands of single cells per sample (scATAC-seq).;Ansuman T. Satpathy ... Howard Y. Chang;2019-04-18;10695;0.29;missing
"""regulatory t cell"" AND ""therapy""";Genome-Wide Association Analysis Identifies Genetic Correlates of Immune Infiltrates in Solid Tumors.;https://www.biorxiv.org/content/10.1101/106039v2;Therapeutic options for the treatment of an increasing variety of cancers have been expanded by the introduction of a new class of drugs, commonly referred to as checkpoint blocking agents, that target the host immune system to positively modulate anti-tumor immune response.  Although efficacy of these agents has been linked to a pre-existing level of tumor immune infiltrate, it remains unclear why some patients exhibit deep and durable responses to these agents therapy while others do not benefit.;Nathan O. Siemers ... Joseph D Szustakowski;2017-02-04;911;0.29;missing
"""regulatory t cell"" AND ""therapy""";A Comprehensive Immunologic Portrait of Triple-Negative Breast Cancer;https://www.biorxiv.org/content/10.1101/209288v1;Background: Triple-negative breast cancer (TNBC) is a high-risk malignancy due to its high capacity for invasion and lack of targeted therapy.  Immunotherapy continues to demonstrate efficacy in a variety of cancers, and thus may be a promising strategy for TNBC given the limited therapeutic options currently available for TNBC.;Zhixian Liu ... Xiaosheng Wang;2017-10-26;777;0.29;missing
"""regulatory t cell"" AND ""therapy""";Cancer stemness, intratumoral heterogeneity, and immune response across cancers;https://www.biorxiv.org/content/10.1101/352559v1;"Regulatory programs that control the function of stem cells are active in cancer and confer properties that promote progression and therapy resistance.  However, the impact of a stem cell-like tumor phenotype (""stemness"") on the immunological properties of cancer has not been systematically explored.";Alex Miranda ... Brad H Nelson;2018-06-20;770;0.29;missing
"""regulatory t cell"" AND ""therapy""";Allele-specific silencing ameliorates restrictive cardiomyopathy due to a human myosin regulatory light chain mutation;https://www.biorxiv.org/content/10.1101/559468v1;Background: Restrictive cardiomyopathy (RCM) is a rare heart disease associated with mutations in sarcomeric genes and with phenotypic overlap with hypertrophic cardiomyopathy.  There is no approved therapy.;Kathia Zaleta-Rivera ... Euan A. Ashley;2019-02-24;254;0.29;missing
"""regulatory t cell"" AND ""therapy""";Integrated analyses of early responses to radiation in glioblastoma identify new alterations in RNA processing and candidate target genes to improve treatment outcomes;https://www.biorxiv.org/content/10.1101/863852v2;Background: High-dose radiation is the main component of glioblastoma therapy.  Unfortunately, radio-resistance is a common problem and a major contributor to tumor relapse.;Saket Choudhary ... Luiz O Penalva;2019-12-04;217;0.29;missing
"""regulatory t cell"" AND ""therapy""";Synergistic interplay between PHF8 and HER2 signaling contributes to breast cancer development and drug resistance;https://www.biorxiv.org/content/10.1101/682476v1;HER2 plays a critical role in tumorigenesis and is associated with poor prognosis of HER2-positive breast cancers.  Although, anti-HER2 drugs show benefits in breast cancer therapy, de novo or acquired resistance often develop.;Qi Liu ... Hank Heng Qi;2019-06-25;137;0.29;missing
"""Sickle cell"" AND ""CRISPR""";CRISPR-Cas9 interrogation of a putative fetal globin repressor in human erythroid cells.;https://www.biorxiv.org/content/10.1101/335729v1;Sickle Cell Disease and beta-thalassemia, which are caused by defective or deficient adult beta-globin (HBB) respectively, are the most common serious genetic blood diseases in the world.  Expression of the fetal beta-like globin, also known as gamma-globin, can ameliorate both disorders by serving in place of the adult beta-globin.;Jennifer Chung ... Mark A Dewitt;2018-05-31;753;0.43;missing
"""Sickle cell"" AND ""CRISPR""";Renal medullary carcinomas depend upon SMARCB1 loss and are sensitive to proteasome inhibition;https://www.biorxiv.org/content/10.1101/487579v1;Renal medullary carcinoma (RMC) is a rare and deadly kidney cancer in patients of African descent with sickle cell trait.  Through direct-to-patient outreach, we developed genomically faithful patient-derived models of RMC.;Andrew L. Hong ... William C. Hahn;2018-12-05;514;0.43;missing
"""Sickle cell"" AND ""CRISPR""";ATF4 mediates fetal globin upregulation in response to reduced β-globin;https://www.biorxiv.org/content/10.1101/2020.01.15.905943v1;Fetal development and anemias such as β-hemoglobinopathies trigger rapid production of red blood cells in a process known as stress erythropoiesis.  Cellular stress prompts differentiating erythroid precursors to express high levels of fetal γ-globin, which has suggested strategies to treat hemoglobinopathies such as thalassemia and sickle cell disease.;Mandy Boontanrart ... JE Corn;2020-01-15;425;0.43;missing
"""Triple negative breast cancer"" AND ""therapy""";Targeting the Id1-Kif11-Aurka axis in triple negative breast cancer using combination therapy;https://www.biorxiv.org/content/10.1101/760686v1;Evidence points to breast cancer following a hierarchical model, with Cancer Stem Cells (CSCs) driving critical phenotypes of the bulk tumor.  Chemoresistant CSCs are not an abstract concept but have clinical consequences as they drive relapse and ultimately lead to mortality in patients, making it imperative to understand how these subpopulations of cells survive.;Reshma Murali ... Radhika Nair;2019-09-11;184;1.0;missing
"""Triple negative breast cancer"" AND ""therapy""";Targeting stromal remodeling and cancer stem cell plasticity to overcome chemoresistance in triple negative breast cancer;https://www.biorxiv.org/content/10.1101/215954v1;The cellular and molecular basis of stromal cell recruitment, activation and crosstalk in carcinomas is poorly understood, limiting the development of targeted anti-stromal therapies.  In mouse models of triple negative breast cancer (TNBC), Hh ligand produced by neoplastic cells reprogrammed cancer-associated fibroblast (CAF) gene expression, driving tumor growth and metastasis.;Aurélie S Cazet ... Alexander Swarbrick;2017-11-08;783;0.71;missing
"""Triple negative breast cancer"" AND ""therapy""";ANTENNA, a Multi-Rank, Multi-Layered Recommender System for Inferring Reliable Drug-Gene-Disease Associations: Repurposing Diazoxide as a Targeted Anti-Cancer Therapy;https://www.biorxiv.org/content/10.1101/192385v2;Existing drug discovery process follows a reductionist model of 'one-drug-one-gene-one-disease,' which is not adequate to tackle complex diseases that involve multiple malfunctioned genes.  The availability of big omics data offers new opportunities to transform the drug discovery process into a new paradigm of systems pharmacology that focuses on designing drugs to target molecular interaction networks instead of a single gene.;Annie Wang ... Lei Xie;2017-09-22;402;0.71;missing
"""Triple negative breast cancer"" AND ""therapy""";STAT3 and GR cooperate to drive basal-like triple negative breast cancer gene expression and proliferation.;https://www.biorxiv.org/content/10.1101/730606v1;Breast cancers can be divided into subtypes with different prognoses and treatment responses based on global gene expression differences.  Luminal breast cancer gene expression and proliferation are driven by the transcription factors Estrogen Receptor alpha (ER), FOXA1 and GATA3.;Megan E Conway ... Katherine E Varley;2019-08-09;297;0.71;missing
"""Triple negative breast cancer"" AND ""therapy""";The inhibitory effects of butein on cell proliferation and TNF-α-induced CCL2 release in racially different triple negative breast cancer cells;https://www.biorxiv.org/content/10.1101/596080v1;Breast cancer drug resistance is the leading cause of cancer-related mortality in women, and triple negative breast cancer (TNBC) is the most aggressive subtype, affecting African American women more aggressively compared to Caucasians.  Of all cancer-related deaths, 15 to 20% are associated with inflammation, where proinflammatory cytokines have been implicated in the tumorigenesis process.;Patricia Mendonca ... Karam F.A. Soliman;2019-04-01;158;0.71;missing
"""Triple negative breast cancer"" AND ""therapy""";Application of Polymersomes Engineered to Target P32 Protein for Detection of Small Breast Tumors in Mice;https://www.biorxiv.org/content/10.1101/187716v3;Triple negative breast cancer (TNBC) is the deadliest form of breast cancer and its successful treatment critically depends on early diagnosis and therapy.  The multi-compartment protein p32 is overexpressed and present at cell surfaces in a variety of tumors, including TNBC, specifically in the malignant cells and endothelial cells, and in macrophages localized in hypoxic areas of the tumor.;Lorena Simón-Gracia ... Tambet Teesalu;2017-09-12;584;0.43;missing
"""Triple negative breast cancer"" AND ""therapy""";A Comprehensive Immunologic Portrait of Triple-Negative Breast Cancer;https://www.biorxiv.org/content/10.1101/209288v1;Background: Triple-negative breast cancer (TNBC) is a high-risk malignancy due to its high capacity for invasion and lack of targeted therapy.  Immunotherapy continues to demonstrate efficacy in a variety of cancers, and thus may be a promising strategy for TNBC given the limited therapeutic options currently available for TNBC.;Zhixian Liu ... Xiaosheng Wang;2017-10-26;777;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";An atlas of infiltrated B-lymphocytes in breast cancer revealed by paired single-cell RNA-sequencing and antigen receptor profiling;https://www.biorxiv.org/content/10.1101/695601v1;While it has been well-recognized that T-cell mediated adaptive cellular immunity plays important roles in cancer immune response and tumor control, the roles of B lymphocytes in tumor development and therapy have only been proposed until recently, and are still mostly controversial.  To gain mechanistic insights into the origin and dynamics of tumor infiltrated immune cells, especially B lymphocytes, we combine single-cell RNA-sequencing and antigen receptor lineage analysis to characterize a large number of triple-negative breast cancer (TNBC) infiltrated immune cells and present a comprehensive atlas of infiltrated B-lymphocytes in TNBC, the most aggressive breast cancer subtype.;Qingtao Hu ... Yu Zhang;2019-07-15;684;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";B7-H1(PD-L1) confers chemoresistance through ERK and p38 MAPK pathway in tumor cells;https://www.biorxiv.org/content/10.1101/308601v1;Development of resistance to chemotherapy and immunotherapy is a major obstacle in extending the survival of patients with cancer.  Although several molecular mechanisms have been identified that can contribute to chemoresistance, the role of immune checkpoint molecules in tumor chemoresistance remains underestimated.;Xiaosheng Wu ... Haidong Dong;2018-04-25;671;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";TP53 mutations promote immunogenic activity in breast cancer;https://www.biorxiv.org/content/10.1101/354779v1;Background: Although immunotherapy has recently achieved clinical successes in a variety of cancers, thus far there is no any immunotherapeutic strategy for breast cancer (BC).  Thus, it is important to discover biomarkers for identifying the BC patients responsive to immunotherapy.;Zhixian Liu ... Xiaosheng Wang;2018-06-24;636;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";Evolution of an intratumoral ecology susceptible to successive treatment in breast cancer xenografts;https://www.biorxiv.org/content/10.1101/249797v2;The processes by which tumors evolve are essential to the efficacy of treatment, but quantitative understanding of intratumoral dynamics has been limited.  Although intratumoral heterogeneity is common, quantification of evolution is difficult from clinical samples because treatment replicates cannot be performed and because matched serial samples are infrequently available.;Hyunsoo Kim ... Jeffrey H. Chuang;2018-01-18;506;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";Reduction of LOXL2-mediated H3K4 oxidation increases chromatin accessibility and promotes chemosensitivity of triple-negative breast cancer cells;https://www.biorxiv.org/content/10.1101/416495v1;Oxidation of H3 at lysine 4 (H3K4ox) by lysyl oxidase-like 2 (LOXL2) generates an H3 modification with an unknown physiological function.  We find that LOXL2 and H3K4ox are higher in triple-negative breast cancer (TNBC) cell lines and patient-derived xenographs (PDXs) than those from other breast cancer subtypes.;J.P. Cebrià-Costa ... S. Peiró;2018-09-13;286;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";Paradigm of Vanadium pentoxide nanoparticle-induced autophagy and apoptosis in triple-negative breast cancer cells;https://www.biorxiv.org/content/10.1101/810200v1;Chemo-resistance remains the main hurdle to cancer therapy, challenging the improvement of clinical outcomes in cancer patients.  Therefore, exploratory studies to address chemo-resistance through various approaches are highly rewarding.;Parvathy Radhakrishna Pillai Suma ... Ramapurath S Jayasree;2019-10-18;235;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";ADAR1 editing dependency in triple-negative breast cancer;https://www.biorxiv.org/content/10.1101/2020.01.31.928911v1;Triple-negative breast cancer (TNBC) is the deadliest form of breast cancer.  Unlike other types of breast cancer that can be effectively treated by targeted therapies, no such targeted therapy exists for all TNBC patients.;Che-Pei Kung ... Jason D. Weber;2020-02-02;224;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";miR-425 suppresses EMT and inhibits the development of TNBC (triple-negative breast cancer) by targeting TGF-β 1/SMAD 3 signaling pathway;https://www.biorxiv.org/content/10.1101/477877v1;Background: EMT has the crucial effect on the progression and metastasis of tumor.  This work will elucidate the role of miR-425 in EMT and development of TNBC.;Yingping Liu ... Jinglong Chen;2018-11-26;168;0.29;missing
"""Triple negative breast cancer"" AND ""therapy""";The metronomic combination of paclitaxel with cholinergic agonists inhibits triple negative breast tumor progression. Participation of M2 receptor subtype;https://www.biorxiv.org/content/10.1101/858969v1;Triple negative tumors are more aggressive than other breast cancer subtypes and there is a lack of specific therapeutic targets on them.  Since muscarinic receptors have been linked to tumor progression, we investigated the effect of metronomic therapy employing a traditional anti-cancer drug, paclitaxel plus muscarinic agonists at low doses on this type of tumor.;Alejandro J. Español ... María E. Sales;2019-11-29;118;0.29;missing
"""Checkpoint inhibitor"" and ""resistance""";Combining radiomics and mathematical modeling to elucidate mechanisms of resistance to immune checkpoint blockade in non-small cell lung cancer;https://www.biorxiv.org/content/10.1101/190561v1;Immune therapies have shown promise in a number of cancers, and clinical trials using the anti-PD-L1/PD-1 checkpoint inhibitor in lung cancer have been successful for a number of patients.  However, some patients either do not respond to the treatment or have cancer recurrence after an initial response.;Daryoush Saeed-Vafa ... Jill A. Gallaher;2017-09-22;799;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Single-cell profiling guided combinatorial immunotherapy for fast-evolving CDK4/6 inhibitor resistant HER2-positive breast cancer;https://www.biorxiv.org/content/10.1101/671198v2;Development of acquired resistance to targeted cancer therapy is one of the most significant clinical challenges.  Acquiring resistance under drug selection pressure is a result of evolutionary adaptation to a complex and dynamic tumor microenvironment (TME).;Qingfei Wang ... Siyuan Zhang;2019-06-14;635;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Tankyrase inhibition sensitizes melanoma to PD-1 immune checkpoint blockade in syngeneic mouse models;https://www.biorxiv.org/content/10.1101/526343v1;The development of immune checkpoint inhibitors represents a major breakthrough in cancer therapy.  Nevertheless, a substantial number of patients fail to respond to checkpoint pathway blockade.;Jo Waaler ... Stefan Krauss;2019-01-22;616;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Understanding inhibitor resistance in Mps1 kinase through novel biophysical assays and structures;https://www.biorxiv.org/content/10.1101/112086v2;Monopolar spindle 1 (Mps1/TTK) is a protein kinase essential in mitotic checkpoint signalling, preventing anaphase until all chromosomes are properly attached to spindle microtubules.  Mps1 has emerged as a potential target for cancer therapy, and a variety of compounds have been developed to inhibit its kinase activity.;Yoshitaka Hiruma ... Anastassis Perrakis;2017-02-27;463;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";The novel reversible LSD1 inhibitor SP-2577 promotes anti-tumor immunity in SWItch/Sucrose-NonFermentable (SWI/SNF) complex mutated ovarian cancer;https://www.biorxiv.org/content/10.1101/2020.01.10.902528v2;Chromatin remodeling SWItch/Sucrose-NonFermentable (SWI/SNF) complexes, initially identified in yeast 20 years ago, are evolutionarily conserved multi-subunit protein complexes that use the energy from hydrolysis of adenosine triphosphate (ATP) to remodel nucleosome structure and modulate transcription.  Mutations in proteins of SWI/SNF complexes occur in 20% of human cancers including ovarian cancer (OC).;Raffaella Soldi ... Sunil Sharma;2020-01-11;375;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";A novel role for the HLH protein Inhibitor of Differentiation 4 (ID4) in the DNA damage response in basal-like breast cancer.;https://www.biorxiv.org/content/10.1101/281196v1;Basal-like breast cancer (BLBC) is a poorly characterised, heterogeneous disease.  Patients are diagnosed with aggressive, high-grade tumours and often relapse with chemotherapy resistance.;Laura A Baker ... Alexander Swarbrick;2018-03-14;359;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Inhibitor of the spindle assembly checkpoint surpasses apoptosis sensitizer in synergy with taxanes;https://www.biorxiv.org/content/10.1101/414359v1;The antitumor effect of taxanes have been attributed to their ability to induce mitotic arrest through activation of the spindle assembly checkpoint.  Cell death following prolonged mitotic arrest is mediated by the intrinsic apoptosis pathway.;Teng-Long Han ... Hang Sha;2018-09-11;278;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Therapeutically actionable PAK4 is amplified, overexpressed and involved in bladder cancer progression;https://www.biorxiv.org/content/10.1101/740316v1;Muscle-invasive bladder carcinomas (MIBCs) are aggressive genitourinary malignancies.  Disease incidence and survival rates vary based on aggressiveness and treatment options.;Darshan S Chandrashekar ... Guru Sonpavde;2019-08-20;197;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";CAR T cells for solid tumors: genome-wide dysfunction signature confirms value of c-Jun overexpression, but signals heterogeneity;https://www.biorxiv.org/content/10.1101/2020.02.07.939033v1;Chimeric antigen receptor (CAR) T cells still have limited effects in cancer, and especially in solid tumors, due to T cell dysfunction and exhaustion.  CAR T cells overexpressing c-Jun (JUN CAR T cells) have been introduced to solve this problem.;Mostapha Benhenda;2020-02-11;153;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";RIPK3 inhibition prevents KRAS mutant p53 deficient lung tumor progression by impeding MDSCs;https://www.biorxiv.org/content/10.1101/853978v1;KRAS mutant p53 deficient (KP) non-small cell lung carcinoma (NSCLC) lacks targeted therapies.  Existing treatments for lung cancer cause resistance and result in toxicities requiring novel effective therapies.;Asha Jayakumar;2019-11-25;104;0.14;missing
"""Checkpoint inhibitor"" and ""resistance""";Suppression of Docetaxel induced apoptosis in Survivin-depleted cells due to failure of sustained mitotic block;https://www.biorxiv.org/content/10.1101/834259v1;The antitumor effect of taxanes have been attributed to their ability to induce mitotic arrest through activation of the spindle assembly checkpoint.  Cell death following prolonged mitotic arrest is mediated by the intrinsic apoptosis pathway.;Teng-Long Han ... Zhi-Xin Jiang;2019-11-07;76;0.14;missing
"""Covid-19"" OR ""SARS-CoV-2""";Aerodynamic Characteristics and RNA Concentration of SARS-CoV-2 Aerosol in Wuhan Hospitals during COVID-19 Outbreak;https://www.biorxiv.org/content/10.1101/2020.03.08.982637v1;Background: The ongoing outbreak of COVID-19 has spread rapidly and sparked global concern.  While the transmission of SARS-CoV-2 through human respiratory droplets and contact with infected persons is clear, the aerosol transmission of SARS-CoV-2 has been little studied.;Yuan Liu ... Ke Lan;2020-03-10;9811;1.0;missing
"""Covid-19"" OR ""SARS-CoV-2""";Non-neural expression of SARS-CoV-2 entry genes in the olfactory epithelium suggests mechanisms underlying anosmia in COVID-19 patients;https://www.biorxiv.org/content/10.1101/2020.03.25.009084v2;Recent reports suggest an association between COVID-19 and altered olfactory function.  Here we analyze bulk and single cell RNA-Seq datasets to identify cell types in the olfactory epithelium that express molecules that mediate infection by SARS-CoV-2 (CoV-2), the causal agent in COVID-19.;David Brann ... Robert Sandeep Datta;2020-03-27;3426;1.0;missing
"""Covid-19"" OR ""SARS-CoV-2""";When Darkness Becomes a Ray of Light in the Dark Times: Understanding the COVID-19 via the Comparative Analysis of the Dark Proteomes of SARS-CoV-2, Human SARS and Bat SARS-Like Coronaviruses;https://www.biorxiv.org/content/10.1101/2020.03.13.990598v2;Recently emerged coronavirus designated as SARS-CoV-2 (also known as 2019 novel coronavirus (2019-nCoV) or Wuhan coronavirus) is a causative agent of coronavirus disease 2019 (COVID-19), which is rapidly spreading throughout the world now.  More than 9,00,000 cases of SARS-CoV-2 infection and more than 47,000 COVID-19-associated mortalities have been reported worldwide till the writing of this article, and these numbers are increasing every passing hour.;Rajanish Giri ... Vladimir N. Uversky;2020-03-14;1516;1.0;missing
"""Covid-19"" OR ""SARS-CoV-2""";Substrate specificity profiling of SARS-CoV-2 Mpro protease provides basis for anti-COVID-19 drug design;https://www.biorxiv.org/content/10.1101/2020.03.07.981928v1;In December 2019, the first cases of a novel coronavirus infection were diagnosed in Wuhan, China.  Due to international travel and human-to-human transmission, the virus spread rapidly inside and outside of China.;Wioletta Rut ... Marcin Drag;2020-03-08;7287;0.86;missing
"""Covid-19"" OR ""SARS-CoV-2""";A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing;https://www.biorxiv.org/content/10.1101/2020.03.22.002386v3;An outbreak of the novel coronavirus SARS-CoV-2, the causative agent of COVID-19 respiratory disease, has infected over 290,000 people since the end of 2019, killed over 12,000, and caused worldwide social and economic disruption.  There are currently no antiviral drugs with proven efficacy nor are there vaccines for its prevention.;David E Gordon ... Nevan J. Krogan;2020-03-22;73522;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";Identification of antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v3;COVID-19 is an emerging infectious disease and was recently declared as a pandemic by WHO.  Currently, there is no vaccine or therapeutic available for this disease.;Sangeun Jeon ... Seungtaek Kim;2020-03-20;11609;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";SARS-CoV-2 launches a unique transcriptional signature from in vitro, ex vivo, and in vivo systems;https://www.biorxiv.org/content/10.1101/2020.03.24.004655v1;One of the greatest threats to humanity is the emergence of a pandemic virus.  Among those with the greatest potential for such an event include influenza viruses and coronaviruses.;Daniel Blanco-Melo ... Benjamin R. tenOever;2020-03-24;5677;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";Novel and potent inhibitors targeting DHODH, a rate-limiting enzyme in de novo pyrimidine biosynthesis, are broad-spectrum antiviral against RNA viruses including newly emerged coronavirus SARS-CoV-2;https://www.biorxiv.org/content/10.1101/2020.03.11.983056v1;Emerging and re-emerging RNA viruses occasionally cause epidemics and pandemics worldwide, such as the on-going outbreak of coronavirus SARS-CoV-2.  Existing direct-acting antiviral (DAA) drugs cannot be applied immediately to new viruses because of virus-specificity, and the development of new DAA drugs from the beginning is not timely for outbreaks.;Rui Xiong ... Ke Xu;2020-03-12;1757;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";A simple magnetic nanoparticles-based viral RNA extraction method for efficient detection of SARS-CoV-2;https://www.biorxiv.org/content/10.1101/2020.02.22.961268v1;The ongoing outbreak of the novel coronavirus disease 2019 (COVID-19) originating from Wuhan, China, draws worldwide concerns due to its long incubation period and strong infectivity.  Although RT-PCR-based molecular diagnosis techniques are being widely applied for clinical diagnosis currently, timely and accurate diagnosis are still limited due to labour intensive and time-consuming operations of these techniques.;Zhen Zhao ... Xuefeng Yu;2020-02-27;821;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";Characterization of the SARS-CoV-2 Spike in an Early Prefusion Conformation;https://www.biorxiv.org/content/10.1101/2020.03.16.994152v2;Pandemic coronavirus disease 2019 (COVID-19) is caused by the emerging severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), for which there are no efficacious vaccines or therapeutics that are urgently needed.  We expressed three versions of spike (S) proteins—receptor binding domain (RBD), S1 subunit and S ectodomain—in insect cells.;Tingting Li ... Ningshao Xia;2020-03-17;777;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";Potent Antiviral Activities of Type I Interferons to SARS-CoV-2 Infection;https://www.biorxiv.org/content/10.1101/2020.04.02.022764v2;The ongoing historic outbreak of COVID-19 not only constitutes a global public health crisis, but also carries a devastating social and economic impact.  The disease is caused by a newly identified coronavirus, Severe Acute Respiratory Syndrome coronavirus 2 (SARS-CoV-2).;Emily K. Mantlo ... Cheng Huang;2020-04-05;314;0.71;missing
"""Covid-19"" OR ""SARS-CoV-2""";Reinfection could not occur in SARS-CoV-2 infected rhesus macaques;https://www.biorxiv.org/content/10.1101/2020.03.13.990226v1;An outbreak of the Corona Virus Disease 2019 (COVID-19), caused by the severe acute respiratory syndrome CoV-2 (SARS-CoV-2), began in Wuhan and spread globally.  Recently, it has been reported that discharged patients in China and elsewhere were testing positive after recovering.;Linlin Bao ... Chuan Qin;2020-03-14;30274;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Viral Architecture of SARS-CoV-2 with Post-Fusion Spike Revealed by Cryo-EM;https://www.biorxiv.org/content/10.1101/2020.03.02.972927v1;Since December 2019, the outbreak of Coronavirus Disease 2019 (COVID-19) spread from Wuhan, China to the world, it has caused more than 87,000 diagnosed cases and more than 3,000 deaths globally.  To fight against COVID-19, we carried out research for the near native SARS-CoV-2 and report here our preliminary results obtained.;Chuang Liu ... Lei Liu;2020-03-05;4644;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Structural and Evolutionary Analysis Indicate that the SARS-CoV-2 Mpro is an Inconvenient Target for Small-Molecule Inhibitors Design;https://www.biorxiv.org/content/10.1101/2020.02.27.968008v3;The novel coronavirus whose outbreak took place in December 2019 continues to spread at a rapid rate worldwide.  In the absence of an effective vaccine, inhibitor repurposing or de novo drug design may offer a longer-term strategy to combat this and future infections due to similar viruses.;Maria Bzowka ... Artur Gora;2020-03-02;2654;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Inhibition of SARS-CoV-2 infection (previously 2019-nCoV) by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion;https://www.biorxiv.org/content/10.1101/2020.03.09.983247v1;The recent outbreak of coronavirus disease (COVID-19) caused by SARS-CoV-2 infection in Wuhan, China has posed a serious threat to global public health.  To develop specific anti-coronavirus therapeutics and prophylactics, the molecular mechanism that underlies viral infection must first be confirmed.;Shuai Xia ... Lu Lu;2020-03-12;2038;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Strong evolutionary convergence of receptor-binding protein spike between COVID-19 and SARS-related coronaviruses;https://www.biorxiv.org/content/10.1101/2020.03.04.975995v1;Coronavirus Disease 2019 (COVID-19) and severe acute respiratory syndrome (SARS)-related coronaviruses (e. g.;Yonghua Wu;2020-03-04;1684;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Cross-reactive antibody response between SARS-CoV-2 and SARS-CoV infections;https://www.biorxiv.org/content/10.1101/2020.03.15.993097v1;The World Health Organization has recently declared the ongoing outbreak of COVID-19, which is caused by a novel coronavirus SARS-CoV-2, as pandemic.  There is currently a lack of knowledge in the antibody response elicited from SARS-CoV-2 infection.;Huibin Lv ... Chris K. P. Mok;2020-03-17;1260;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";Designing of a next generation multiepitope based vaccine (MEV) against SARS-COV-2: Immunoinformatics and in silico approaches;https://www.biorxiv.org/content/10.1101/2020.02.28.970343v2;Coronavirus disease 2019 (COVID-19) associated pneumonia caused by severe acute respiratory coronavirus 2 (SARS-COV-2) was first reported in Wuhan, China in December 2019.  Till date, no vaccine or completely effective drug is available to cure COVID-19.;Muhammad Tahir ul Qamar ... Ling-Ling Chen;2020-03-02;573;0.57;missing
"""Covid-19"" OR ""SARS-CoV-2""";The inhaled corticosteroid ciclesonide blocks coronavirus RNA replication by targeting viral NSP15;https://www.biorxiv.org/content/10.1101/2020.03.11.987016v1;Steroid compounds, which are expected to have dual functions in blocking host inflammation and MERS-CoV replication, were screened from a chemical library.  Within this library, ciclesonide, an inhaled corticosteroid, suppressed human coronavirus replication in cultured cells, but did not suppress replication of respiratory syncytial virus or influenza virus.;Shutoku Matsuyama ... Shuetsu Fukushi;2020-03-12;3970;0.29;missing
"""Covid-19"" OR ""SARS-CoV-2""";Comparative Pathogenesis Of COVID-19, MERS And SARS In A Non-Human Primate Model;https://www.biorxiv.org/content/10.1101/2020.03.17.995639v1;A novel coronavirus, SARS-CoV-2, was recently identified in patients with an acute respiratory syndrome, COVID-19.  To compare its pathogenesis with that of previously emerging coronaviruses, we inoculated cynomolgus macaques with SARS-CoV-2 or MERS-CoV and compared with historical SARS-CoV infections.;Barry Rockx ... Bart L. Haagmans;2020-03-17;3447;0.29;missing
